Inventory,,,,,,,,,,,,,,,
Item ID,Item type,Item Name,Item Description,Aesthetic tag (decor only),Base Cost,Seed Description,Plant Decor Type,Total Ticks (Growth Time),Sell Price (Mature Plant/Decor),Is Fixture (Decor only),Plant Description 1,Plant Description 2,Plant Description 3,Plant Description 4,Plant Description 5
1013,Plant,Turnip,In Norse mythology\ turnips were believed to be the favorite food of the god Thor. According to legend\ Thor would often carry a turnip with him to provide nourishment during his travels\ and he was even said to have used turnips as a weapon on occasion!,,6,,Vegetable,4,25,,In Norse mythology\ turnips were believed to be the favorite food of the god Thor. According to legend\ Thor would often carry a turnip with him to provide nourishment during his travels\ and he was even said to have used turnips as a weapon on occasion!,Turnips are cool-season crops that prefer well-draining soil and full sun. They can be grown in the ground or in containers and are typically planted in the fall for a winter harvest.,Turnips were popular food crops during World War I and II\ when they were often used as a substitute for potatoes\ which were in short supply. They were also used to feed livestock during this time.,,
1014,Plant,Pumpkin,Pumpkins are warm-weather crops that prefer well-draining soil and full sun. They are typically planted in the spring and take 75-100 days to mature.,,6,,Vegetable,4,25,,Pumpkins are warm-weather crops that prefer well-draining soil and full sun. They are typically planted in the spring and take 75-100 days to mature.,Pumpkins are native to North America and were first cultivated by indigenous communities for their edible seeds and flesh. They were later introduced to Europe by European colonizers and became popular in cuisines around the world.,Pumpkins have become a symbol of Halloween in North America\ and are commonly used as decorations during the holiday season\ especially as carved jack-o'-lanterns.,,
1015,Plant,Apple,Apples have a long and fascinating history\ with evidence of apple cultivation dating back to ancient times in Central Asia. Apples were later brought to Europe by the Romans and eventually made their way to North America with European settlers.,,12,,Fruit,8,40,,Apples have a long and fascinating history\ with evidence of apple cultivation dating back to ancient times in Central Asia. Apples were later brought to Europe by the Romans and eventually made their way to North America with European colonizers.,Apples have been used in cultural traditions around the world. In England\ it was once believed that if you cut an apple in half and counted the number of seeds\ you would know how many children you would have. In China\ the apple is a symbol of peace and is often given as a gift during the Mid-Autumn Festival.,Apples are popular fruits that can grow in a variety of climates and soil types. They prefer full sun and well-draining soil and can be grown in the ground or in containers.,,
1016,Plant,Pear,Pears are fruits that prefer well-draining soil and full sun. They are typically planted in the fall or early spring and can take 3-5 years to mature.,,12,,Fruit,8,40,,Pears are fruits that prefer well-draining soil and full sun. They are typically planted in the fall or early spring and can take 3-5 years to mature.,"Pears are a popular symbol in art and literature. In the 17th century\ the Dutch artist Jan van Huysum was known for his still-life paintings featuring pears\ while the French writer Stendhal famously wrote that ""a pear is a rose in the fruit world.""",In Chinese mythology\ the pear tree is believed to be a symbol of immortality and is often depicted in art and literature. In Greek mythology\ pears were believed to be sacred to the goddess Hera and were associated with fertility and marriage.,,
1017,Plant,Watermelon,Watermelon is a good source of hydration\ with over 90% water content. It is also a good source of vitamins A and C and contains antioxidants that may help prevent disease.,,8,,Fruit,8,25,,Watermelon is a good source of hydration\ with over 90% water content. It is also a good source of vitamins A and C and contains antioxidants that may help prevent disease.,Watermelon is a vine-like flowering plant that grows best in warm\ sunny climates with well-draining soil. They require regular watering and fertilizing to produce healthy fruit.,Watermelon is believed to have originated in Africa over 5\000 years ago and was later cultivated in ancient Egypt and other parts of the Mediterranean region. It was later introduced to the Americas by European colonizers and is now grown all over the world.,,
1018,Plant,Cherry,Cherry trees prefer well-draining soil and full sun and are often planted in the fall or early spring. They can be propagated through grafting or budding.,,8,,Fruit,8,25,,Cherry trees prefer well-draining soil and full sun and are often planted in the fall or early spring. They can be propagated through grafting or budding.,In some cultures\ cherry blossoms are associated with beauty\ purity\ and rebirth\ and are often used in religious and ceremonial contexts.,Cherries have been cultivated for thousands of years\ with evidence of cherry consumption dating back to ancient civilizations in Asia and Europe.,,
1019,Plant,Plum,Plums are fruits that are relatively easy to grow in the home garden. They prefer well-draining soil and full sun\ and regular pruning is necessary to maintain their shape and fruit production.,,12,,Fruit,8,40,,Plums are fruits that are relatively easy to grow in the home garden. They prefer well-draining soil and full sun\ and regular pruning is necessary to maintain their shape and fruit production.,Plums have been cultivated for thousands of years and are believed to have originated in China. They were introduced to Europe by the Romans and eventually made their way to North America with European colonizers.,In Greek mythology\ plums were associated with the god Pluto\ who was said to have used them as a way to lure souls to the underworld. In Japanese folklore\ the plum blossom is a symbol of perseverance and strength in the face of adversity.,,
1020,Plant,Peach,Peaches are deciduous fruits that require well-drained soil and full sun. They are susceptible to a number of diseases and pests\ so proper care and attention is necessary to ensure a healthy and productive tree.,,12,,Fruit,8,40,,Peaches are deciduous fruits that require well-drained soil and full sun. They are susceptible to a number of diseases and pests\ so proper care and attention is necessary to ensure a healthy and productive tree.,Peaches originated in China more than 2\000 years ago and were brought to the Mediterranean region by traders. They were later introduced to North America by Spanish colonizers in the 16th century.,In Chinese mythology\ the peach is a symbol of longevity and immortality\ and it is said that peaches grown in the orchard of the Queen Mother of the West will grant immortality to those who eat them.,,
1021,Plant,Blueberry,"Blueberries are sometimes called ""brain berries"" because they are believed to improve cognitive function and memory. Some studies have shown that eating blueberries regularly can help improve brain function and reduce the risk of age-related cognitive decline.",,16,,Fruit,8,55,,"Blueberries are sometimes called ""brain berries"" because they are believed to improve cognitive function and memory. Some studies have shown that eating blueberries regularly can help improve brain function and reduce the risk of age-related cognitive decline.",Blueberries are deciduous fruits that prefer acidic soil with good drainage. They are relatively easy to grow in the home garden\ and regular pruning is necessary to promote healthy growth and fruit production.,Blueberries are native to North America and were a traditional food source for many Indigenous communities. They were not cultivated commercially until the early 20th century when farmers in New Jersey began growing them for the market.,,
4001,Decor,Tulip's Punching Bag,,,100,,DEC_Memento_Tulip01,,0,FALSE,,,,,
4002,Decor,Apple's Vanity,,,100,,DEC_Memento_Apple01,,0,FALSE,,,,,
4003,Decor,Crocus' Painting Set,,,100,,DEC_Memento_Crocus01,,0,FALSE,,,,,
4004,Decor,Turnip's Gramaphone,,,100,,DEC_Memento_Radish01,,0,FALSE,,,,,
4005,Decor,Pumpkin's Scarecrow,,,100,,DEC_Memento_Pumpkin01,,0,FALSE,,,,,
4006,Decor,Cotton's Candy Machine,,,100,,DEC_Memento_Cotton01,,0,FALSE,,,,,
4007,Decor,Camping Lantern,,,600,,DEC_Lighting_Camping,,300,FALSE,,,,,
4008,Decor,Green Lamp Post,,,1200,,DEC_Lighting_Hanging01,,600,FALSE,,,,,
4009,Decor,Rustic Lamp Post,,,1200,,DEC_Lighting_Hanging02,,600,FALSE,,,,,
4010,Decor,White Lamp Post,,,2000,,DEC_Lighting_Iron01,,1000,FALSE,,,,,
4011,Decor,Double Lamp Post,,,2000,,DEC_Lighting_Iron02,,1000,FALSE,,,,,
4012,Decor,Hanging Baskets Lamp Post,,,2000,,DEC_Lighting_Iron03,,1000,FALSE,,,,,
4013,Decor,Big Jack-O-Lantern,,,800,,DEC_Lighting_JackOLantern01,,400,FALSE,,,,,
4014,Decor,Small Jack-O-Lantern,,,800,,DEC_Lighting_JackOLantern02,,400,FALSE,,,,,
4015,Decor,Short Garden Lantern,,,600,,DEC_Lighting_Japanese01,,300,FALSE,,,,,
4016,Decor,Tall Garden Lantern,,,600,,DEC_Lighting_Japanese02,,300,FALSE,,,,,
4017,Decor,Purple Mushroom Lamp,,,800,,DEC_Lighting_Mushroom01,,400,FALSE,,,,,
4018,Decor,Turquoise Mushroom Lamp,,,800,,DEC_Lighting_Mushroom02,,400,FALSE,,,,,
4019,Decor,Torch,,,500,,DEC_Lighting_Torch01,,250,FALSE,,,,,
4020,Decor,Watering Can Light,,,1800,,DEC_Lighting_WateringCan01,,900,FALSE,,,,,
4021,Decor,Bonfire,,,1200,,DEC_Lighting_Bonfire,,600,FALSE,,,,,
4022,Decor,Blue Bike,,,2400,,DEC_Bike_Blue,,1200,FALSE,,,,,
4023,Decor,Rustic Bucket,,,500,,DEC_Bucket_Rustic,,250,FALSE,,,,,
4024,Decor,Blue Harvest Basket,,,600,,DEC_HarvestBasket_Blue,,300,FALSE,,,,,
4025,Decor,Green Harvest Basket,,,600,,DEC_HarvestBasket_Green,,300,FALSE,,,,,
4026,Decor,Pink Harvest Basket,,,600,,DEC_HarvestBasket_Pink,,300,FALSE,,,,,
4027,Decor,White Harvest Basket,,,600,,DEC_HarvestBasket_White,,300,FALSE,,,,,
4028,Decor,Green Leafpile,,,400,,DEC_Leafpile_Green,,200,FALSE,,,,,
4029,Decor,Orange Leafpile,,,400,,DEC_Leafpile_Orange,,200,FALSE,,,,,
4030,Decor,Picnic Basket,,,700,,DEC_PicnicBasket,,350,FALSE,,,,,
4031,Decor,Scarecrow,,,2100,,DEC_Scarecrow01,,1050,FALSE,,,,,
4032,Decor,Natural Swingset,,,9000,,DEC_Swingset01,,4500,FALSE,,,,,
4033,Decor,Cozy Swingset,,,9000,,DEC_Swingset02,,4500,FALSE,,,,,
4034,Decor,Yellow Umbrella,,,900,,DEC_Umbrella01,,450,FALSE,,,,,
4035,Decor,Pink Umbrella,,,900,,DEC_Umbrella02,,450,FALSE,,,,,
4036,Decor,Blue Umbrella,,,900,,DEC_Umbrella03,,450,FALSE,,,,,
4037,Decor,Flower Wagon,,,6000,,DEC_Wagon_Flower,,3000,FALSE,,,,,
4038,Decor,Simple Balloons,,,500,,DEC_Balloon01,,250,FALSE,,,,,
4039,Decor,Pink Flower Balloons,,,500,,DEC_Balloon02,,250,FALSE,,,,,
4040,Decor,Star Balloons,,,500,,DEC_Balloon03,,250,FALSE,,,,,
4041,Decor,Blue Flower Balloons,,,500,,DEC_Balloon04,,250,FALSE,,,,,
4042,Decor,Golden Birdhouse,,,2000,,DEC_Birdhouse01,,1000,FALSE,,,,,
4043,Decor,Natural Birdhouse,,,1800,,DEC_Birdhouse02,,900,FALSE,,,,,
4044,Decor,Tower Birdhouse,,,2400,,DEC_Birdhouse03,,1200,FALSE,,,,,
4045,Decor,Cottage Birdhouse,,,2400,,DEC_Birdhouse04,,1200,FALSE,,,,,
4046,Decor,Rack of Watering Cans,,,1200,,DEC_WateringCan01,,600,FALSE,,,,,
4047,Decor,Banana Hammock,,,1000,,DEC_Hammock_Banana,,500,FALSE,,,,,
4048,Decor,Blue Hammock,,,1000,,DEC_Hammock_Blue,,500,FALSE,,,,,
4049,Decor,Rainbow Hammock,,,1000,,DEC_Hammock_Rainbow,,500,FALSE,,,,,
4050,Decor,Merry-go-round,,,2000,,DEC_Playground_Merrygoround,,1000,FALSE,,,,,
4051,Decor,Seesaw,,,3000,,DEC_Playground_Seesaw,,1500,FALSE,,,,,
4052,Decor,Slide,,,4000,,DEC_Playground_Slide,,2000,FALSE,,,,,
4053,Decor,Icy Wind Spinner,,,800,,DEC_WindSpinners_Blue,,400,FALSE,,,,,
4054,Decor,Spring Wind Spinner,,,800,,DEC_WindSpinners_PinkYellowGreen,,400,FALSE,,,,,
4055,Decor,Rainbow Wind Spinner,,,800,,DEC_WindSpinners_Rainbow,,400,FALSE,,,,,
4056,Decor,Origami Wind Spinner,,,800,,DEC_WindSpinners_White,,400,FALSE,,,,,
4057,Decor,Festive Wind Spinner,,,800,,DEC_WindSpinners_YellowPinkPurple,,400,FALSE,,,,,
4058,Decor,Shovel,,,400,,DEC_Shovel,,200,FALSE,,,,,
4059,Decor,Rake,,,400,,DEC_Rake,,200,FALSE,,,,,
4060,Decor,Caramel Horse Spring Rider,,,1000,,DEC_Horse_Caramel,,500,FALSE,,,,,
4061,Decor,Mocha Horse Spring Rider,,,1000,,DEC_Horse_Mocha,,500,FALSE,,,,,
4062,Decor,Salt and Pepper Horse Spring Rider,,,1000,,DEC_Horse_SaltnPepper,,500,FALSE,,,,,
4063,Decor,White Horse Spring Rider,,,1000,,DEC_Horse_White,,500,FALSE,,,,,
4064,Decor,Flower Hose Rack,,,1000,,DEC_HoseRack,,500,FALSE,,,,,
4065,Decor,Old Garden Boots,,,200,,DEC_Boots,,100,FALSE,,,,,
4066,Decor,Sideways Barrel,,,400,,DEC_Barrel_Side,,200,FALSE,,,,,
4067,Decor,Upright Barrel,,,400,,DEC_Barrel_Up,,200,FALSE,,,,,
4068,Decor,Lawn Mower,,,800,,DEC_GrassMower,,400,FALSE,,,,,
4069,Decor,Red Wheelbarrow,,,800,,DEC_RedBarrow,,400,FALSE,,,,,
4070,Decor,Fireplace Teapot,,,600,,DEC_Fireplace_Teapot,,300,FALSE,,,,,
4071,Decor,Large Stone,,,200,,DEC_Stone_Large,,100,FALSE,,,,,
4072,Decor,Medium Stone,,,200,,DEC_Stone_Medium,,100,FALSE,,,,,
4073,Decor,Small Stone,,,200,,DEC_Stone_Small,,100,FALSE,,,,,
4074,Decor,Grecian Columns,,,7000,,DEC_GrecianColumn,,3500,FALSE,,,,,
4075,Decor,Wooden Gazebo,,,7000,,DEC_Gazebo,,3500,FALSE,,,,,
4076,Decor,Gardening Cart,,,6000,,DEC_GardeningCart,,3000,FALSE,,,,,
4077,Decor,Bee Watering Can,,,800,,DEC_WateringCan_Bee,,400,FALSE,,,,,
4078,Decor,Purple Building Blocks,,,200,,DEC_AGPEasterEgg_NeonCity,,100,FALSE,,,,,
4079,Decor,Benny Bear,,,200,,DEC_AGPEasterEgg_TryAgain,,100,FALSE,,,,,
4080,Decor,Fish Sculpture,,,2200,,DEC_Sculpture_Fish,,1100,FALSE,,,,,
4081,Decor,Fox Sculpture,,,3200,,DEC_Sculpture_Fox,,1600,FALSE,,,,,
4082,Decor,Turtle Sculpture,,,1200,,DEC_Sculpture_Turtle01,,600,FALSE,,,,,
4083,Decor,Upside Down Turtle Sculpture,,,1200,,DEC_Sculpture_Turtle02,,600,FALSE,,,,,
4084,Decor,Snail Sculpture,,,3200,,DEC_Sculpture_Snail,,1600,FALSE,,,,,
4085,Decor,Peacock Sculpture,,,3200,,DEC_Sculpture_Peacock,,1600,FALSE,,,,,
4086,Decor,Bunny Sculpture,,,3200,,DEC_Sculpture_Bunny,,1600,FALSE,,,,,
4087,Decor,Garden Gnome,,,2000,,DEC_Sculpture_Gnome_Basic,,1000,FALSE,,,,,
4088,Decor,Golden Garden Gnome,,,3000,,DEC_Sculpture_Gnome_Basic_Gold,,1500,FALSE,,,,,
4089,Decor,Seductive Garden Gnome,,,3200,,DEC_Sculpture_Gnome_Seductive,,1600,FALSE,,,,,
4090,Decor,Marilyn MonGnome,,,3200,,DEC_Sculpture_Gnome_MarilynMonGnome,,1600,FALSE,,,,,
4091,Decor,Bucket Hat Garden Gnome,,,3200,,DEC_Sculpture_Gnome_Bucket,,1600,FALSE,,,,,
4092,Decor,Golden Bucket Hat Garden Gnome,,,4200,,DEC_Sculpture_Gnome_Bucket_Gold,,2100,FALSE,,,,,
4093,Decor,Armed Garden Gnome,,,3200,,DEC_Sculpture_Gnome_Gun,,1600,FALSE,,,,,
4094,Decor,Sleeping Garden Gnome,,,3200,,DEC_Sculpture_Gnome_Sleeping,,1600,FALSE,,,,,
4095,Decor,Grecian Ruins,,,2200,,DEC_Sculpture_GrecianRuins,,1100,FALSE,,,,,
4096,Decor,Brass Armillary Sundial,,,1600,,DEC_Sculpture_Sundial_Armillary_Brass,,800,FALSE,,,,,
4097,Decor,Silver Armillary Sundial,,,1600,,DEC_Sculpture_Sundial_Armillary_Silver,,800,FALSE,,,,,
4098,Decor,Sundial,,,1600,,DEC_Sculpture_Sundial,,800,FALSE,,,,,
4099,Decor,Flamingo,,,2800,,DEC_Sculpture_Flamingo_Basic,,1400,FALSE,,,,,
4100,Decor,Beach Flamingo,,,4000,,DEC_Sculpture_Flamingo_Beach,,2000,FALSE,,,,,
4101,Decor,Heart Flamingos,,,4000,,DEC_Sculpture_Flamingo_Heart,,2000,FALSE,,,,,
4102,Decor,Grandma Statue,,,10000,,DEC_Sculpture_Grandma,,5000,FALSE,,,,,
4103,Decor,Mountain Fountain,,,3000,,DEC_Sculpture_MountainFountain,,1500,FALSE,,,,,
4104,Decor,Strange Rock,,,3000,,DEC_Sculpture_StrangeRock,,1500,FALSE,,,,,
4105,Decor,Cushioned Iron Bench,,,500,,DEC_Bench_Iron_Cushion,,250,FALSE,,,,,
4106,Decor,Iron Bench,,,1800,,DEC_Bench_Iron_Hatch,,900,FALSE,,,,,
4107,Decor,Fancy Stone Bench,,,2000,,DEC_Bench_Stone_Fancy,,1000,FALSE,,,,,
4108,Decor,Natural Stone Bench,,,1800,,DEC_Bench_Stone_Natural,,900,FALSE,,,,,
4109,Decor,Natural Stone Bench with Moss,,,1800,,DEC_Bench_Stone_NaturalMoss,,900,FALSE,,,,,
4110,Decor,Simple Stone Bench,,,1800,,DEC_Bench_Stone_Plain,,900,FALSE,,,,,
4111,Decor,Wood and Iron Bench,,,2400,,DEC_Bench_Wood_IronBack,,1200,FALSE,,,,,
4112,Decor,Simple Wooden Bench,,,1800,,DEC_Bench_Wood_NoBack,,900,FALSE,,,,,
4113,Decor,Wooden Settle Bench,,,2000,,DEC_Bench_Wood_WoodBack,,1000,FALSE,,,,,
4114,Decor,Cushioned Iron Chair ,,,2200,,DEC_Chair_Iron_Cushion,,1100,FALSE,,,,,
4115,Decor,Oval Iron Chair,,,500,,DEC_Chair_Iron_Oval,,250,FALSE,,,,,
4116,Decor,Mushroom Chair,,,600,,DEC_Chair_Mushroom,,300,FALSE,,,,,
4117,Decor,Rocking Chair,,,800,,DEC_Chair_Rocking,,400,FALSE,,,,,
4118,Decor,Simple Wooden Chair,,,400,,DEC_Chair_Wood_Thick,,200,FALSE,,,,,
4119,Decor,Oval Wooden Chair,,,600,,DEC_Chair_Wood_Thin,,300,FALSE,,,,,
4120,Decor,Fireside Wooden Stool,,,200,,DEC_Chair_Stool,,100,FALSE,,,,,
4121,Decor,Daisy Table,,,1600,,DEC_Table_Flower_Daisy,,800,FALSE,,,,,
4122,Decor,Red Flower Table,,,1600,,DEC_Table_Flower_Flat_Red,,800,FALSE,,,,,
4123,Decor,White Flower Table,,,1600,,DEC_Table_Flower_Flat_White,,800,FALSE,,,,,
4124,Decor,Blue Tulip Table,,,1600,,DEC_Table_Flower_Tulip_Blue,,800,FALSE,,,,,
4125,Decor,Pink Tulip Table,,,1600,,DEC_Table_Flower_Tulip_Pink,,800,FALSE,,,,,
4126,Decor,Yellow Tulip Table,,,1600,,DEC_Table_Flower_Tulip_Yellow,,800,FALSE,,,,,
4127,Decor,Black Iron Pedestal Table,,,1600,,DEC_Table_Iron_OneLeg_Black,,800,FALSE,,,,,
4128,Decor,Green Iron Pedestal Table,,,1600,,DEC_Table_Iron_OneLeg_Green,,800,FALSE,,,,,
4129,Decor,White Iron Pedestal Table,,,1600,,DEC_Table_Iron_OneLeg_White,,800,FALSE,,,,,
4130,Decor,Black Iron Tripod Table,,,1600,,DEC_Table_Iron_ThreeLeg_Black,,800,FALSE,,,,,
4131,Decor,Green Iron Tripod Table,,,1600,,DEC_Table_Iron_ThreeLeg_Green,,800,FALSE,,,,,
4132,Decor,White Iron Tripod Table,,,1600,,DEC_Table_Iron_ThreeLeg_White,,800,FALSE,,,,,
